09-23-2026 17:40:46 RAM 6315/30697MB (lfb 251x4MB) SWAP 506/15348MB (cached 0MB) CPU [58%@2201,9%@2201,12%@2201,9%@2201,8%@2201,17%@2201,15%@2201,10%@2201,9%@2201,10%@2201,12%@2201,7%@2201] GR3D_FREQ 0% cpu@58.375C soc2@54.093C soc0@55.125C gpu@52.718C tj@58.375C soc1@55.468C VDD_GPU_SOC 4931mW/4931mW VDD_CPU_CV 3790mW/3790mW VIN_SYS_5V0 5024mW/5024mW
09-23-2026 17:40:57 RAM 6551/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58C soc2@53.468C soc0@54.812C gpu@52.718C tj@58.093C soc1@55.125C VDD_GPU_SOC 4931mW/4994mW VDD_CPU_CV 3033mW/3128mW VIN_SYS_5V0 4923mW/5074mW
09-23-2026 17:40:58 RAM 6572/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [6%@2201,7%@2201,7%@2201,100%@2201,7%@2201,7%@2201,7%@2201,8%@2201,7%@2201,6%@2201,6%@2201,7%@2201] GR3D_FREQ 0% cpu@58C soc2@53.281C soc0@54.906C gpu@52.656C tj@58C soc1@55.218C VDD_GPU_SOC 4931mW/4989mW VDD_CPU_CV 3033mW/3120mW VIN_SYS_5V0 5124mW/5078mW
09-23-2026 17:40:59 RAM 6590/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.25C soc2@53.343C soc0@54.625C gpu@52.687C tj@58.25C soc1@55C VDD_GPU_SOC 4931mW/4985mW VDD_CPU_CV 3033mW/3114mW VIN_SYS_5V0 5124mW/5081mW
09-23-2026 17:41:00 RAM 6600/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.937C soc2@53.187C soc0@54.625C gpu@52.656C tj@57.937C soc1@54.937C VDD_GPU_SOC 4933mW/4982mW VDD_CPU_CV 3033mW/3109mW VIN_SYS_5V0 4823mW/5064mW
09-23-2026 17:41:01 RAM 6602/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,1%@2201,0%@2201,20%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,78%@2201,1%@2201,7%@2201] GR3D_FREQ 0% cpu@58.281C soc2@53.375C soc0@54.656C gpu@52.593C tj@58.281C soc1@55.031C VDD_GPU_SOC 4931mW/4979mW VDD_CPU_CV 3411mW/3128mW VIN_SYS_5V0 5024mW/5061mW
09-23-2026 17:41:02 RAM 6602/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,3%@2201,1%@2201,1%@2201,100%@2201,1%@2201,2%@2201] GR3D_FREQ 0% cpu@58.375C soc2@53.343C soc0@54.718C gpu@52.625C tj@58.375C soc1@55.031C VDD_GPU_SOC 4931mW/4976mW VDD_CPU_CV 3412mW/3144mW VIN_SYS_5V0 5024mW/5059mW
09-23-2026 17:41:03 RAM 6602/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [95%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,5%@2201,5%@2201,4%@2201,8%@2201,1%@2201,27%@2201] GR3D_FREQ 0% cpu@58C soc2@53.781C soc0@54.718C gpu@52.562C tj@58C soc1@55.062C VDD_GPU_SOC 4931mW/4973mW VDD_CPU_CV 3790mW/3180mW VIN_SYS_5V0 5024mW/5057mW
09-23-2026 17:41:04 RAM 6603/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,1%@2201,2%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,2%@2201] GR3D_FREQ 0% cpu@58.125C soc2@53.687C soc0@54.843C gpu@52.406C tj@58.125C soc1@54.906C VDD_GPU_SOC 4931mW/4971mW VDD_CPU_CV 3412mW/3192mW VIN_SYS_5V0 5024mW/5055mW
09-23-2026 17:41:05 RAM 6604/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 0% cpu@58C soc2@53.625C soc0@54.5C gpu@52.437C tj@58C soc1@54.875C VDD_GPU_SOC 4931mW/4969mW VDD_CPU_CV 3412mW/3203mW VIN_SYS_5V0 5024mW/5054mW
09-23-2026 17:41:06 RAM 6604/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [100%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,1%@2201,0%@2201,0%@2201,10%@2201] GR3D_FREQ 0% cpu@58.125C soc2@53.687C soc0@54.5C gpu@52.437C tj@58.125C soc1@54.875C VDD_GPU_SOC 4931mW/4967mW VDD_CPU_CV 3412mW/3213mW VIN_SYS_5V0 5024mW/5052mW
09-23-2026 17:41:07 RAM 6632/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@57.781C soc2@53.593C soc0@54.625C gpu@52.375C tj@57.781C soc1@54.937C VDD_GPU_SOC 4931mW/4966mW VDD_CPU_CV 3033mW/3205mW VIN_SYS_5V0 5024mW/5051mW
09-23-2026 17:41:08 RAM 6647/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [65%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,15%@2201,17%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.781C soc2@53.187C soc0@54.625C gpu@52.343C tj@57.781C soc1@55.031C VDD_GPU_SOC 4931mW/4964mW VDD_CPU_CV 2653mW/3181mW VIN_SYS_5V0 5224mW/5059mW
09-23-2026 17:41:09 RAM 6666/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,43%@2201,1%@2201,0%@2201,0%@2201,55%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.218C soc2@53.25C soc0@54.625C gpu@52.343C tj@58.218C soc1@55.093C VDD_GPU_SOC 4931mW/4963mW VDD_CPU_CV 3033mW/3175mW VIN_SYS_5V0 5124mW/5061mW
09-23-2026 17:41:10 RAM 6686/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,1%@2201,0%@2201,99%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.218C soc2@53.125C soc0@54.812C gpu@52.375C tj@58.218C soc1@54.843C VDD_GPU_SOC 4931mW/4961mW VDD_CPU_CV 3032mW/3169mW VIN_SYS_5V0 5024mW/5060mW
09-23-2026 17:41:11 RAM 6701/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,98%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.437C soc2@53.156C soc0@54.437C gpu@52.468C tj@58.437C soc1@54.812C VDD_GPU_SOC 4931mW/4960mW VDD_CPU_CV 3032mW/3164mW VIN_SYS_5V0 5224mW/5066mW
09-23-2026 17:41:12 RAM 6719/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.031C soc2@53.125C soc0@54.468C gpu@52.281C tj@58.031C soc1@54.843C VDD_GPU_SOC 4931mW/4959mW VDD_CPU_CV 3033mW/3159mW VIN_SYS_5V0 5024mW/5065mW
09-23-2026 17:41:13 RAM 6752/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.5C soc2@53.125C soc0@54.437C gpu@52.343C tj@58.5C soc1@54.843C VDD_GPU_SOC 4931mW/4958mW VDD_CPU_CV 3033mW/3155mW VIN_SYS_5V0 5024mW/5063mW
09-23-2026 17:41:14 RAM 6854/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.031C soc2@53.125C soc0@54.437C gpu@52.25C tj@58.031C soc1@54.75C VDD_GPU_SOC 4931mW/4957mW VDD_CPU_CV 3033mW/3150mW VIN_SYS_5V0 5124mW/5065mW
09-23-2026 17:41:15 RAM 6860/30697MB (lfb 253x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.156C soc2@53.125C soc0@54.593C gpu@52.312C tj@58.156C soc1@54.906C VDD_GPU_SOC 4931mW/4956mW VDD_CPU_CV 2654mW/3134mW VIN_SYS_5V0 5224mW/5071mW
09-23-2026 17:41:16 RAM 6989/30697MB (lfb 247x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,1%@2201,0%@2201,99%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.218C soc2@52.968C soc0@54.593C gpu@52.312C tj@58.218C soc1@54.968C VDD_GPU_SOC 4931mW/4956mW VDD_CPU_CV 2654mW/3118mW VIN_SYS_5V0 5224mW/5075mW
09-23-2026 17:41:17 RAM 7045/30697MB (lfb 233x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.937C soc2@52.937C soc0@54.406C gpu@52.281C tj@57.937C soc1@54.718C VDD_GPU_SOC 4931mW/4955mW VDD_CPU_CV 2654mW/3104mW VIN_SYS_5V0 5325mW/5083mW
09-23-2026 17:41:18 RAM 7076/30697MB (lfb 225x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,1%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.187C soc2@52.937C soc0@54.343C gpu@52.281C tj@58.187C soc1@54.718C VDD_GPU_SOC 5311mW/4966mW VDD_CPU_CV 2654mW/3090mW VIN_SYS_5V0 5325mW/5091mW
09-23-2026 17:41:19 RAM 7113/30697MB (lfb 218x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,11%@2201,12%@2201,1%@2201,10%@2201,100%@2201,10%@2201,0%@2201,10%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58C soc2@53.125C soc0@54.406C gpu@52.25C tj@58C soc1@54.718C VDD_GPU_SOC 5311mW/4976mW VDD_CPU_CV 3032mW/3089mW VIN_SYS_5V0 5425mW/5100mW
09-23-2026 17:41:20 RAM 7183/30697MB (lfb 200x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.906C soc2@53.031C soc0@54.5C gpu@52.218C tj@57.906C soc1@54.781C VDD_GPU_SOC 5311mW/4985mW VDD_CPU_CV 2654mW/3076mW VIN_SYS_5V0 5325mW/5107mW
09-23-2026 17:41:21 RAM 7376/30697MB (lfb 153x4MB) SWAP 506/15348MB (cached 0MB) CPU [12%@2201,7%@2201,8%@2201,8%@2201,7%@2201,58%@2201,7%@2201,8%@2201,7%@2201,8%@2201,50%@2201,7%@2201] GR3D_FREQ 0% cpu@57.781C soc2@53C soc0@54.468C gpu@52.656C tj@57.781C soc1@54.906C VDD_GPU_SOC 4931mW/4984mW VDD_CPU_CV 3790mW/3096mW VIN_SYS_5V0 5124mW/5107mW
09-23-2026 17:41:22 RAM 7433/30697MB (lfb 139x4MB) SWAP 506/15348MB (cached 0MB) CPU [6%@2201,5%@2201,6%@2201,5%@2201,6%@2201,6%@2201,5%@2201,6%@2201,6%@2201,5%@2201,100%@2201,6%@2201] GR3D_FREQ 0% cpu@57.593C soc2@52.781C soc0@54.312C gpu@52.656C tj@57.593C soc1@54.593C VDD_GPU_SOC 4931mW/4982mW VDD_CPU_CV 3033mW/3094mW VIN_SYS_5V0 5124mW/5108mW
09-23-2026 17:41:23 RAM 7478/30697MB (lfb 127x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,3%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,100%@2201,0%@2201] GR3D_FREQ 0% cpu@57.718C soc2@52.843C soc0@54.281C gpu@52.062C tj@57.718C soc1@54.593C VDD_GPU_SOC 4931mW/4981mW VDD_CPU_CV 3033mW/3093mW VIN_SYS_5V0 5224mW/5111mW
09-23-2026 17:41:24 RAM 7509/30697MB (lfb 120x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,100%@2201,0%@2201] GR3D_FREQ 0% cpu@57.375C soc2@52.875C soc0@54.281C gpu@52.125C tj@57.375C soc1@54.625C VDD_GPU_SOC 4931mW/4980mW VDD_CPU_CV 2654mW/3081mW VIN_SYS_5V0 5124mW/5111mW
09-23-2026 17:41:25 RAM 7561/30697MB (lfb 107x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,1%@2201,88%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,11%@2201,0%@2201] GR3D_FREQ 0% cpu@57.593C soc2@52.906C soc0@54.375C gpu@52.187C tj@57.593C soc1@54.687C VDD_GPU_SOC 4931mW/4979mW VDD_CPU_CV 3033mW/3080mW VIN_SYS_5V0 5124mW/5112mW
09-23-2026 17:41:26 RAM 7574/30697MB (lfb 104x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.625C soc2@52.875C soc0@54.375C gpu@52.093C tj@57.625C soc1@54.75C VDD_GPU_SOC 4931mW/4977mW VDD_CPU_CV 3033mW/3079mW VIN_SYS_5V0 4923mW/5107mW
09-23-2026 17:41:27 RAM 7604/30697MB (lfb 96x4MB) SWAP 506/15348MB (cached 0MB) CPU [3%@2201,2%@2201,2%@2201,100%@2201,3%@2201,2%@2201,3%@2201,2%@2201,2%@2201,3%@2201,2%@2201,3%@2201] GR3D_FREQ 0% cpu@58.093C soc2@52.906C soc0@54.468C gpu@52C tj@58.093C soc1@54.875C VDD_GPU_SOC 4931mW/4976mW VDD_CPU_CV 3033mW/3078mW VIN_SYS_5V0 5024mW/5105mW
09-23-2026 17:41:28 RAM 7626/30697MB (lfb 93x4MB) SWAP 506/15348MB (cached 0MB) CPU [5%@2201,4%@2201,6%@2201,100%@2201,4%@2201,4%@2201,4%@2201,4%@2201,5%@2201,4%@2201,4%@2201,4%@2201] GR3D_FREQ 0% cpu@57.875C soc2@52.843C soc0@54.187C gpu@52.156C tj@57.875C soc1@54.437C VDD_GPU_SOC 4931mW/4975mW VDD_CPU_CV 3033mW/3077mW VIN_SYS_5V0 5024mW/5103mW
09-23-2026 17:41:29 RAM 7639/30697MB (lfb 92x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,100%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.687C soc2@52.812C soc0@54.281C gpu@52.031C tj@57.687C soc1@54.468C VDD_GPU_SOC 4931mW/4974mW VDD_CPU_CV 3033mW/3076mW VIN_SYS_5V0 5124mW/5104mW
09-23-2026 17:41:30 RAM 7671/30697MB (lfb 92x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,1%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.468C soc2@52.781C soc0@54.25C gpu@52.093C tj@57.468C soc1@54.437C VDD_GPU_SOC 4931mW/4973mW VDD_CPU_CV 3033mW/3075mW VIN_SYS_5V0 5024mW/5102mW
09-23-2026 17:41:31 RAM 7687/30697MB (lfb 92x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,2%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.468C soc2@52.875C soc0@54.218C gpu@52.031C tj@57.468C soc1@54.562C VDD_GPU_SOC 4931mW/4972mW VDD_CPU_CV 3033mW/3074mW VIN_SYS_5V0 5224mW/5104mW
09-23-2026 17:41:32 RAM 7713/30697MB (lfb 92x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,35%@2201,0%@2201,0%@2201,0%@2201,0%@2201,64%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.406C soc2@52.906C soc0@54.406C gpu@52.031C tj@57.406C soc1@54.593C VDD_GPU_SOC 4931mW/4971mW VDD_CPU_CV 3033mW/3073mW VIN_SYS_5V0 5124mW/5105mW
09-23-2026 17:41:33 RAM 7729/30697MB (lfb 88x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.406C soc2@52.687C soc0@54.406C gpu@51.968C tj@57.406C soc1@54.437C VDD_GPU_SOC 4931mW/4971mW VDD_CPU_CV 3033mW/3072mW VIN_SYS_5V0 5124mW/5105mW
09-23-2026 17:41:34 RAM 7742/30697MB (lfb 84x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,99%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.343C soc2@52.718C soc0@54.093C gpu@52.062C tj@57.343C soc1@54.437C VDD_GPU_SOC 4931mW/4970mW VDD_CPU_CV 2654mW/3064mW VIN_SYS_5V0 5224mW/5108mW
09-23-2026 17:41:35 RAM 7770/30697MB (lfb 77x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.75C soc2@52.687C soc0@54.187C gpu@52.031C tj@57.75C soc1@54.406C VDD_GPU_SOC 4931mW/4969mW VDD_CPU_CV 3033mW/3063mW VIN_SYS_5V0 5024mW/5106mW
09-23-2026 17:41:36 RAM 7834/30697MB (lfb 76x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,100%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.25C soc2@52.718C soc0@54.125C gpu@51.968C tj@57.25C soc1@54.437C VDD_GPU_SOC 4931mW/4968mW VDD_CPU_CV 3033mW/3063mW VIN_SYS_5V0 5024mW/5104mW
09-23-2026 17:41:37 RAM 7906/30697MB (lfb 76x4MB) SWAP 506/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,45%@2201,0%@2201,50%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.093C soc2@52.687C soc0@54.156C gpu@52.031C tj@57.093C soc1@54.593C VDD_GPU_SOC 4933mW/4968mW VDD_CPU_CV 2275mW/3047mW VIN_SYS_5V0 5224mW/5107mW
09-23-2026 17:41:38 RAM 8226/30697MB (lfb 76x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,1%@2201,2%@2201,1%@2201,2%@2201,6%@2201,99%@2201,2%@2201,1%@2201,1%@2201,2%@2201,1%@2201] GR3D_FREQ 0% cpu@57.437C soc2@52.781C soc0@54.218C gpu@51.968C tj@57.437C soc1@54.562C VDD_GPU_SOC 5311mW/4974mW VDD_CPU_CV 2654mW/3040mW VIN_SYS_5V0 5224mW/5109mW
09-23-2026 17:41:39 RAM 8316/30697MB (lfb 76x4MB) SWAP 506/15348MB (cached 0MB) CPU [1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@57.437C soc2@52.593C soc0@54C gpu@52.312C tj@57.437C soc1@54.281C VDD_GPU_SOC 5311mW/4980mW VDD_CPU_CV 2654mW/3033mW VIN_SYS_5V0 5224mW/5111mW
