09-23-2026 23:48:33 RAM 4019/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [12%@2201,10%@2201,18%@2201,18%@2201,25%@2201,11%@2201,8%@2201,11%@2201,9%@2201,10%@2201,11%@2201,43%@2201] GR3D_FREQ 0% cpu@62.156C soc2@57.312C soc0@58.375C gpu@56.531C tj@62.156C soc1@58.875C VDD_GPU_SOC 5311mW/5311mW VDD_CPU_CV 4169mW/4169mW VIN_SYS_5V0 5024mW/5024mW
09-23-2026 23:48:44 RAM 4290/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [2%@2201,99%@2201,1%@2201,0%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@61.312C soc2@56.25C soc0@57.468C gpu@55.25C tj@61.312C soc1@57.875C VDD_GPU_SOC 5311mW/5248mW VDD_CPU_CV 3033mW/3128mW VIN_SYS_5V0 5024mW/5099mW
09-23-2026 23:48:45 RAM 4312/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [7%@2201,100%@2201,7%@2201,7%@2201,7%@2201,6%@2201,7%@2201,6%@2201,8%@2201,10%@2201,7%@2201,6%@2201] GR3D_FREQ 0% cpu@60.906C soc2@56.281C soc0@57.468C gpu@55.25C tj@60.906C soc1@57.843C VDD_GPU_SOC 5311mW/5253mW VDD_CPU_CV 3033mW/3120mW VIN_SYS_5V0 5224mW/5109mW
09-23-2026 23:48:46 RAM 4329/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,99%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@60.875C soc2@56.281C soc0@57.281C gpu@55.093C tj@60.875C soc1@57.812C VDD_GPU_SOC 5311mW/5257mW VDD_CPU_CV 3033mW/3114mW VIN_SYS_5V0 5124mW/5110mW
09-23-2026 23:48:47 RAM 4340/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,99%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@61.062C soc2@56.031C soc0@57.375C gpu@55.031C tj@61.062C soc1@57.906C VDD_GPU_SOC 4933mW/5236mW VDD_CPU_CV 3033mW/3109mW VIN_SYS_5V0 5024mW/5104mW
09-23-2026 23:48:48 RAM 4342/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,34%@2201,0%@2201,0%@2201,1%@2201,64%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@60.875C soc2@55.812C soc0@57.031C gpu@54.937C tj@60.875C soc1@57.656C VDD_GPU_SOC 4933mW/5217mW VDD_CPU_CV 3412mW/3128mW VIN_SYS_5V0 5024mW/5099mW
09-23-2026 23:48:49 RAM 4342/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,99%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@61.093C soc2@55.812C soc0@57C gpu@54.875C tj@61.093C soc1@57.593C VDD_GPU_SOC 4933mW/5200mW VDD_CPU_CV 3412mW/3144mW VIN_SYS_5V0 5024mW/5095mW
09-23-2026 23:48:50 RAM 4343/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [48%@2201,0%@2201,1%@2201,0%@2201,0%@2201,51%@2201,0%@2201,2%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@60.312C soc2@56.156C soc0@57C gpu@54.812C tj@60.312C soc1@57.5C VDD_GPU_SOC 4933mW/5185mW VDD_CPU_CV 3412mW/3159mW VIN_SYS_5V0 4923mW/5085mW
09-23-2026 23:48:51 RAM 4343/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@60.343C soc2@56.156C soc0@56.968C gpu@54.812C tj@60.343C soc1@57.406C VDD_GPU_SOC 4933mW/5172mW VDD_CPU_CV 3412mW/3173mW VIN_SYS_5V0 5024mW/5082mW
09-23-2026 23:48:52 RAM 4343/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@60.187C soc2@56.156C soc0@57C gpu@54.656C tj@60.187C soc1@57.656C VDD_GPU_SOC 4933mW/5160mW VDD_CPU_CV 3412mW/3185mW VIN_SYS_5V0 5024mW/5079mW
09-23-2026 23:48:53 RAM 4343/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@60.218C soc2@55.906C soc0@57.031C gpu@54.687C tj@60.218C soc1@57.218C VDD_GPU_SOC 4933mW/5149mW VDD_CPU_CV 3412mW/3195mW VIN_SYS_5V0 5024mW/5076mW
09-23-2026 23:48:54 RAM 4353/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [99%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@60.281C soc2@55.812C soc0@56.75C gpu@54.625C tj@60.281C soc1@57.187C VDD_GPU_SOC 4933mW/5139mW VDD_CPU_CV 3033mW/3188mW VIN_SYS_5V0 5024mW/5074mW
09-23-2026 23:48:55 RAM 4387/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [43%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,56%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@60.156C soc2@55.375C soc0@56.718C gpu@54.5C tj@60.156C soc1@57.125C VDD_GPU_SOC 5313mW/5147mW VDD_CPU_CV 2654mW/3165mW VIN_SYS_5V0 5224mW/5080mW
09-23-2026 23:48:56 RAM 4404/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,61%@2201,2%@2201,0%@2201,1%@2201,38%@2201] GR3D_FREQ 0% cpu@60.187C soc2@55.375C soc0@56.687C gpu@54.531C tj@60.187C soc1@57.187C VDD_GPU_SOC 4933mW/5138mW VDD_CPU_CV 3033mW/3159mW VIN_SYS_5V0 5124mW/5082mW
09-23-2026 23:48:57 RAM 4424/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,99%@2201] GR3D_FREQ 0% cpu@59.718C soc2@55.343C soc0@56.593C gpu@54.75C tj@59.718C soc1@57.125C VDD_GPU_SOC 5313mW/5145mW VDD_CPU_CV 3033mW/3154mW VIN_SYS_5V0 5124mW/5084mW
09-23-2026 23:48:58 RAM 4442/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,1%@2201,1%@2201,99%@2201] GR3D_FREQ 0% cpu@59.718C soc2@55.031C soc0@56.625C gpu@54.843C tj@59.718C soc1@57.187C VDD_GPU_SOC 5313mW/5151mW VDD_CPU_CV 2654mW/3135mW VIN_SYS_5V0 5224mW/5089mW
09-23-2026 23:48:59 RAM 4456/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,1%@2201,98%@2201] GR3D_FREQ 0% cpu@59.875C soc2@55.062C soc0@56.406C gpu@54.687C tj@59.875C soc1@56.812C VDD_GPU_SOC 4931mW/5143mW VDD_CPU_CV 3033mW/3131mW VIN_SYS_5V0 5124mW/5091mW
09-23-2026 23:49:00 RAM 4488/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59.656C soc2@55.031C soc0@56.218C gpu@54.687C tj@59.656C soc1@56.781C VDD_GPU_SOC 4933mW/5136mW VDD_CPU_CV 3033mW/3128mW VIN_SYS_5V0 5124mW/5092mW
09-23-2026 23:49:01 RAM 4589/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59.812C soc2@54.968C soc0@56.281C gpu@54.687C tj@59.812C soc1@56.781C VDD_GPU_SOC 5313mW/5142mW VDD_CPU_CV 2654mW/3111mW VIN_SYS_5V0 5224mW/5096mW
09-23-2026 23:49:02 RAM 4595/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,1%@2201,99%@2201] GR3D_FREQ 0% cpu@59.343C soc2@54.937C soc0@56.343C gpu@54.156C tj@59.343C soc1@56.781C VDD_GPU_SOC 5313mW/5148mW VDD_CPU_CV 2654mW/3096mW VIN_SYS_5V0 5325mW/5104mW
09-23-2026 23:49:03 RAM 4721/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59.468C soc2@54.906C soc0@56.343C gpu@54.093C tj@59.468C soc1@56.718C VDD_GPU_SOC 5313mW/5153mW VDD_CPU_CV 2654mW/3082mW VIN_SYS_5V0 5325mW/5111mW
09-23-2026 23:49:04 RAM 4782/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59.312C soc2@54.875C soc0@56.343C gpu@54C tj@59.312C soc1@56.718C VDD_GPU_SOC 5313mW/5158mW VDD_CPU_CV 2654mW/3068mW VIN_SYS_5V0 5325mW/5118mW
09-23-2026 23:49:05 RAM 4803/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59.468C soc2@54.656C soc0@56.343C gpu@53.906C tj@59.468C soc1@56.562C VDD_GPU_SOC 5313mW/5163mW VDD_CPU_CV 2654mW/3056mW VIN_SYS_5V0 5325mW/5124mW
09-23-2026 23:49:06 RAM 4850/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,1%@2201,100%@2201] GR3D_FREQ 0% cpu@59.625C soc2@54.656C soc0@55.937C gpu@53.968C tj@59.625C soc1@56.375C VDD_GPU_SOC 5313mW/5167mW VDD_CPU_CV 2654mW/3044mW VIN_SYS_5V0 5325mW/5130mW
09-23-2026 23:49:07 RAM 4898/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,0%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59.093C soc2@54.656C soc0@56C gpu@53.843C tj@59.093C soc1@56.468C VDD_GPU_SOC 5313mW/5171mW VDD_CPU_CV 2654mW/3033mW VIN_SYS_5V0 5325mW/5136mW
09-23-2026 23:49:08 RAM 5130/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [10%@2201,52%@2201,9%@2201,9%@2201,9%@2201,14%@2201,9%@2201,10%@2201,10%@2201,9%@2201,9%@2201,56%@2201] GR3D_FREQ 0% cpu@60.031C soc2@55C soc0@56.062C gpu@53.75C tj@60.031C soc1@56.437C VDD_GPU_SOC 5311mW/5175mW VDD_CPU_CV 4169mW/3065mW VIN_SYS_5V0 5224mW/5138mW
09-23-2026 23:49:09 RAM 5185/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [4%@2201,100%@2201,4%@2201,4%@2201,4%@2201,3%@2201,4%@2201,3%@2201,3%@2201,4%@2201,5%@2201,3%@2201] GR3D_FREQ 0% cpu@59.531C soc2@54.812C soc0@56C gpu@53.812C tj@59.531C soc1@56.625C VDD_GPU_SOC 4933mW/5169mW VDD_CPU_CV 3033mW/3064mW VIN_SYS_5V0 5124mW/5138mW
09-23-2026 23:49:10 RAM 5231/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [1%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@59.281C soc2@54.625C soc0@56.218C gpu@53.75C tj@59.281C soc1@56.562C VDD_GPU_SOC 5313mW/5172mW VDD_CPU_CV 2654mW/3053mW VIN_SYS_5V0 5224mW/5140mW
09-23-2026 23:49:11 RAM 5263/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [1%@2201,100%@2201,2%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@59.75C soc2@54.656C soc0@55.843C gpu@53.625C tj@59.75C soc1@56.218C VDD_GPU_SOC 5313mW/5176mW VDD_CPU_CV 2654mW/3043mW VIN_SYS_5V0 5224mW/5142mW
09-23-2026 23:49:12 RAM 5321/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [1%@2201,9%@2201,0%@2201,0%@2201,0%@2201,90%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@59.593C soc2@54.468C soc0@55.781C gpu@53.687C tj@59.593C soc1@56.218C VDD_GPU_SOC 4933mW/5170mW VDD_CPU_CV 3033mW/3042mW VIN_SYS_5V0 5124mW/5142mW
09-23-2026 23:49:13 RAM 5329/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@59.312C soc2@54.437C soc0@55.75C gpu@53.531C tj@59.312C soc1@56.187C VDD_GPU_SOC 4933mW/5164mW VDD_CPU_CV 3034mW/3042mW VIN_SYS_5V0 4923mW/5136mW
09-23-2026 23:49:14 RAM 5361/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [5%@2201,5%@2201,5%@2201,4%@2201,4%@2201,100%@2201,4%@2201,5%@2201,4%@2201,5%@2201,5%@2201,5%@2201] GR3D_FREQ 0% cpu@59.843C soc2@54.593C soc0@55.687C gpu@53.75C tj@59.843C soc1@56.218C VDD_GPU_SOC 4933mW/5159mW VDD_CPU_CV 3412mW/3051mW VIN_SYS_5V0 5024mW/5134mW
09-23-2026 23:49:15 RAM 5385/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [2%@2201,1%@2201,2%@2201,2%@2201,2%@2201,100%@2201,2%@2201,2%@2201,1%@2201,1%@2201,2%@2201,2%@2201] GR3D_FREQ 0% cpu@59.375C soc2@54.406C soc0@55.718C gpu@53.843C tj@59.375C soc1@56.281C VDD_GPU_SOC 5313mW/5162mW VDD_CPU_CV 3033mW/3051mW VIN_SYS_5V0 5124mW/5133mW
09-23-2026 23:49:16 RAM 5398/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,100%@2201,0%@2201,0%@2201,0%@2201,2%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@59.281C soc2@54.218C soc0@55.781C gpu@53.75C tj@59.281C soc1@56.031C VDD_GPU_SOC 4933mW/5157mW VDD_CPU_CV 3033mW/3050mW VIN_SYS_5V0 5124mW/5133mW
09-23-2026 23:49:17 RAM 5428/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,2%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@59.343C soc2@54.25C soc0@55.468C gpu@53.718C tj@59.343C soc1@55.937C VDD_GPU_SOC 4933mW/5152mW VDD_CPU_CV 3033mW/3050mW VIN_SYS_5V0 5024mW/5131mW
09-23-2026 23:49:18 RAM 5443/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201] GR3D_FREQ 0% cpu@58.937C soc2@54.156C soc0@55.5C gpu@53.75C tj@58.937C soc1@55.875C VDD_GPU_SOC 5313mW/5156mW VDD_CPU_CV 2654mW/3041mW VIN_SYS_5V0 5224mW/5133mW
09-23-2026 23:49:19 RAM 5461/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,30%@2201,0%@2201,0%@2201,69%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@58.5C soc2@54.125C soc0@55.5C gpu@53.687C tj@58.5C soc1@55.937C VDD_GPU_SOC 4933mW/5151mW VDD_CPU_CV 3033mW/3041mW VIN_SYS_5V0 5124mW/5133mW
09-23-2026 23:49:20 RAM 5480/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [20%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,81%@2201,1%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@58.625C soc2@54.5C soc0@55.437C gpu@53.625C tj@58.625C soc1@55.875C VDD_GPU_SOC 5313mW/5154mW VDD_CPU_CV 3033mW/3041mW VIN_SYS_5V0 5124mW/5132mW
09-23-2026 23:49:21 RAM 5492/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [99%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.562C soc2@54.281C soc0@55.5C gpu@53.656C tj@58.562C soc1@56C VDD_GPU_SOC 5313mW/5157mW VDD_CPU_CV 2654mW/3033mW VIN_SYS_5V0 5224mW/5134mW
09-23-2026 23:49:22 RAM 5521/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [100%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@58.812C soc2@54.281C soc0@55.5C gpu@53.625C tj@58.812C soc1@55.781C VDD_GPU_SOC 5313mW/5161mW VDD_CPU_CV 3033mW/3033mW VIN_SYS_5V0 5024mW/5132mW
09-23-2026 23:49:23 RAM 5576/30697MB (lfb 254x4MB) SWAP 504/15348MB (cached 0MB) CPU [98%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.406C soc2@54.218C soc0@55.343C gpu@53.062C tj@58.406C soc1@55.718C VDD_GPU_SOC 5313mW/5164mW VDD_CPU_CV 3033mW/3033mW VIN_SYS_5V0 5124mW/5132mW
09-23-2026 23:49:24 RAM 5729/30697MB (lfb 249x4MB) SWAP 504/15348MB (cached 0MB) CPU [17%@2201,1%@2201,0%@2201,1%@2201,0%@2201,45%@2201,0%@2201,4%@2201,30%@2201,0%@2201,1%@2201,1%@2201] GR3D_FREQ 12% cpu@58.625C soc2@53.875C soc0@55.312C gpu@53.156C tj@58.625C soc1@55.625C VDD_GPU_SOC 5313mW/5166mW VDD_CPU_CV 2275mW/3018mW VIN_SYS_5V0 5224mW/5134mW
09-23-2026 23:49:25 RAM 5986/30697MB (lfb 224x4MB) SWAP 504/15348MB (cached 0MB) CPU [1%@2201,2%@2201,1%@2201,1%@2201,1%@2201,2%@2201,1%@2201,98%@2201,1%@2201,3%@2201,2%@2201,0%@2201] GR3D_FREQ 0% cpu@58.5C soc2@53.781C soc0@55.312C gpu@52.968C tj@58.5C soc1@55.687C VDD_GPU_SOC 5313mW/5169mW VDD_CPU_CV 2654mW/3012mW VIN_SYS_5V0 5224mW/5135mW
09-23-2026 23:49:26 RAM 6058/30697MB (lfb 206x4MB) SWAP 504/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,1%@2201,3%@2201,1%@2201,2%@2201] GR3D_FREQ 0% cpu@58.562C soc2@53.812C soc0@55.281C gpu@52.906C tj@58.562C soc1@55.75C VDD_GPU_SOC 5313mW/5172mW VDD_CPU_CV 2654mW/3005mW VIN_SYS_5V0 5224mW/5137mW
