09-24-2026 08:33:03 RAM 7187/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [31%@2201,14%@2201,21%@2201,9%@2201,22%@2201,19%@2201,21%@2201,18%@2201,15%@2201,16%@2201,11%@2201,26%@2201] GR3D_FREQ 0% cpu@62.187C soc2@56.843C soc0@57.843C gpu@55.968C tj@62.187C soc1@58.375C VDD_GPU_SOC 5308mW/5308mW VDD_CPU_CV 4167mW/4167mW VIN_SYS_5V0 5325mW/5325mW
09-24-2026 08:33:14 RAM 7616/30697MB (lfb 224x4MB) SWAP 614/15348MB (cached 1MB) CPU [5%@2201,3%@2201,100%@2201,3%@2201,17%@2201,14%@2201,14%@2201,11%@2201,8%@2201,7%@2201,9%@2201,20%@2201] GR3D_FREQ 0% cpu@61.843C soc2@55.906C soc0@57C gpu@55.093C tj@61.843C soc1@57.406C VDD_GPU_SOC 5308mW/5279mW VDD_CPU_CV 4548mW/3475mW VIN_SYS_5V0 5325mW/5199mW
09-24-2026 08:33:15 RAM 7549/30697MB (lfb 224x4MB) SWAP 609/15348MB (cached 1MB) CPU [7%@2201,2%@2201,34%@2201,20%@2201,4%@2201,8%@2201,3%@2201,3%@2201,69%@2201,3%@2201,6%@2201,5%@2201] GR3D_FREQ 0% cpu@60.343C soc2@55.718C soc0@56.968C gpu@55C tj@60.343C soc1@57.5C VDD_GPU_SOC 4931mW/5252mW VDD_CPU_CV 3412mW/3470mW VIN_SYS_5V0 5124mW/5193mW
09-24-2026 08:33:16 RAM 7566/30697MB (lfb 224x4MB) SWAP 609/15348MB (cached 1MB) CPU [8%@2201,6%@2201,6%@2201,8%@2201,7%@2201,6%@2201,7%@2201,7%@2201,99%@2201,8%@2201,7%@2201,6%@2201] GR3D_FREQ 0% cpu@59.937C soc2@55.656C soc0@56.937C gpu@55.031C tj@59.937C soc1@57.437C VDD_GPU_SOC 4931mW/5229mW VDD_CPU_CV 3033mW/3439mW VIN_SYS_5V0 5124mW/5188mW
09-24-2026 08:33:17 RAM 7581/30697MB (lfb 224x4MB) SWAP 609/15348MB (cached 1MB) CPU [0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,98%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@59.875C soc2@55.625C soc0@56.875C gpu@54.906C tj@59.875C soc1@57.406C VDD_GPU_SOC 4931mW/5209mW VDD_CPU_CV 3033mW/3412mW VIN_SYS_5V0 5124mW/5184mW
09-24-2026 08:33:18 RAM 7593/30697MB (lfb 224x4MB) SWAP 609/15348MB (cached 1MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@60.031C soc2@55.625C soc0@56.843C gpu@54.593C tj@60.031C soc1@57.5C VDD_GPU_SOC 4931mW/5192mW VDD_CPU_CV 3033mW/3388mW VIN_SYS_5V0 4823mW/5162mW
09-24-2026 08:33:19 RAM 7593/30697MB (lfb 224x4MB) SWAP 609/15348MB (cached 1MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,69%@2201,1%@2201,1%@2201,1%@2201,27%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@61.125C soc2@55.437C soc0@57C gpu@54.562C tj@61.125C soc1@57.125C VDD_GPU_SOC 4931mW/5176mW VDD_CPU_CV 3412mW/3389mW VIN_SYS_5V0 5024mW/5153mW
09-24-2026 08:33:20 RAM 7593/30697MB (lfb 224x4MB) SWAP 609/15348MB (cached 1MB) CPU [0%@2201,0%@2201,0%@2201,2%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@61.25C soc2@55.406C soc0@56.656C gpu@54.406C tj@61.25C soc1@57.093C VDD_GPU_SOC 4931mW/5163mW VDD_CPU_CV 3412mW/3391mW VIN_SYS_5V0 5024mW/5146mW
09-24-2026 08:33:21 RAM 7593/30697MB (lfb 224x4MB) SWAP 609/15348MB (cached 1MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@60.781C soc2@55.406C soc0@56.5C gpu@54.375C tj@60.781C soc1@57.062C VDD_GPU_SOC 4931mW/5151mW VDD_CPU_CV 3412mW/3392mW VIN_SYS_5V0 4923mW/5135mW
09-24-2026 08:33:22 RAM 7594/30697MB (lfb 224x4MB) SWAP 609/15348MB (cached 1MB) CPU [4%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@60.968C soc2@55.468C soc0@56.468C gpu@54.343C tj@60.968C soc1@57.031C VDD_GPU_SOC 4931mW/5140mW VDD_CPU_CV 3412mW/3393mW VIN_SYS_5V0 5024mW/5129mW
09-24-2026 08:33:23 RAM 7595/30697MB (lfb 224x4MB) SWAP 609/15348MB (cached 1MB) CPU [3%@2201,0%@2201,1%@2201,1%@2201,99%@2201,2%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@60.75C soc2@55.25C soc0@56.468C gpu@54.218C tj@60.75C soc1@57C VDD_GPU_SOC 4931mW/5130mW VDD_CPU_CV 3412mW/3394mW VIN_SYS_5V0 5024mW/5124mW
09-24-2026 08:33:24 RAM 7642/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [13%@2201,4%@2201,2%@2201,1%@2201,76%@2201,4%@2201,4%@2201,29%@2201,4%@2201,5%@2201,6%@2201,30%@2201] GR3D_FREQ 0% cpu@60.156C soc2@55.187C soc0@56.531C gpu@54.156C tj@60.156C soc1@57.125C VDD_GPU_SOC 4929mW/5121mW VDD_CPU_CV 4548mW/3446mW VIN_SYS_5V0 5224mW/5129mW
09-24-2026 08:33:25 RAM 7870/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [74%@2201,31%@2201,15%@2201,14%@2201,13%@2201,14%@2201,13%@2201,21%@2201,13%@2201,13%@2201,13%@2201,100%@2201] GR3D_FREQ 0% cpu@60.468C soc2@55.156C soc0@56.281C gpu@54.187C tj@60.468C soc1@56.75C VDD_GPU_SOC 5308mW/5129mW VDD_CPU_CV 4925mW/3510mW VIN_SYS_5V0 5325mW/5137mW
09-24-2026 08:33:26 RAM 7931/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [0%@2201,82%@2201,1%@2201,1%@2201,16%@2201,1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@60.843C soc2@55.031C soc0@56.25C gpu@54.187C tj@60.843C soc1@56.687C VDD_GPU_SOC 5308mW/5136mW VDD_CPU_CV 4169mW/3538mW VIN_SYS_5V0 5526mW/5153mW
09-24-2026 08:33:27 RAM 7998/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [84%@2201,5%@2201,4%@2201,2%@2201,18%@2201,3%@2201,3%@2201,2%@2201,0%@2201,3%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@60.031C soc2@55.218C soc0@56.187C gpu@54.125C tj@60.031C soc1@56.718C VDD_GPU_SOC 5308mW/5143mW VDD_CPU_CV 4546mW/3578mW VIN_SYS_5V0 5425mW/5164mW
09-24-2026 08:33:28 RAM 8044/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [98%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,2%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59.656C soc2@55.281C soc0@56.187C gpu@54.125C tj@59.656C soc1@56.625C VDD_GPU_SOC 5308mW/5149mW VDD_CPU_CV 4548mW/3615mW VIN_SYS_5V0 5425mW/5174mW
09-24-2026 08:33:29 RAM 8097/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [98%@2201,0%@2201,0%@2201,2%@2201,2%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59.656C soc2@55.187C soc0@56.281C gpu@54.093C tj@59.656C soc1@56.656C VDD_GPU_SOC 5308mW/5155mW VDD_CPU_CV 4169mW/3636mW VIN_SYS_5V0 5425mW/5183mW
09-24-2026 08:33:30 RAM 8136/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [98%@2201,0%@2201,0%@2201,1%@2201,1%@2201,1%@2201,5%@2201,1%@2201,1%@2201,0%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59.781C soc2@55.125C soc0@56.218C gpu@54.093C tj@59.781C soc1@56.531C VDD_GPU_SOC 5308mW/5161mW VDD_CPU_CV 4548mW/3669mW VIN_SYS_5V0 5425mW/5192mW
09-24-2026 08:33:31 RAM 8178/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [100%@2201,0%@2201,1%@2201,0%@2201,5%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59.468C soc2@54.968C soc0@56.25C gpu@53.968C tj@59.468C soc1@56.375C VDD_GPU_SOC 5308mW/5166mW VDD_CPU_CV 4169mW/3686mW VIN_SYS_5V0 5526mW/5204mW
09-24-2026 08:33:32 RAM 7853/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [99%@2201,6%@2201,1%@2201,2%@2201,6%@2201,1%@2201,0%@2201,2%@2201,0%@2201,3%@2201,3%@2201,66%@2201] GR3D_FREQ 0% cpu@59.687C soc2@54.937C soc0@55.906C gpu@54.031C tj@59.687C soc1@56.343C VDD_GPU_SOC 5311mW/5171mW VDD_CPU_CV 3790mW/3689mW VIN_SYS_5V0 5526mW/5214mW
09-24-2026 08:33:33 RAM 7873/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [100%@2201,2%@2201,12%@2201,1%@2201,1%@2201,4%@2201,1%@2201,20%@2201,1%@2201,1%@2201,5%@2201,2%@2201] GR3D_FREQ 0% cpu@59.156C soc2@54.781C soc0@55.937C gpu@54.281C tj@59.156C soc1@56.375C VDD_GPU_SOC 5311mW/5175mW VDD_CPU_CV 3033mW/3668mW VIN_SYS_5V0 5325mW/5218mW
09-24-2026 08:33:34 RAM 7965/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,18%@2201,3%@2201,3%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@59.312C soc2@54.781C soc0@55.843C gpu@53.562C tj@59.312C soc1@56.312C VDD_GPU_SOC 5311mW/5179mW VDD_CPU_CV 3412mW/3660mW VIN_SYS_5V0 5425mW/5224mW
09-24-2026 08:33:35 RAM 8004/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [100%@2201,2%@2201,2%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.843C soc2@54.656C soc0@55.937C gpu@53.625C tj@59.031C soc1@56.406C VDD_GPU_SOC 5313mW/5183mW VDD_CPU_CV 2654mW/3630mW VIN_SYS_5V0 5224mW/5224mW
09-24-2026 08:33:36 RAM 8055/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [100%@2201,0%@2201,2%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.968C soc2@54.468C soc0@55.906C gpu@53.468C tj@58.968C soc1@56.062C VDD_GPU_SOC 5313mW/5187mW VDD_CPU_CV 2654mW/3601mW VIN_SYS_5V0 5325mW/5227mW
09-24-2026 08:33:37 RAM 8117/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [100%@2201,1%@2201,8%@2201,0%@2201,3%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@58.875C soc2@54.343C soc0@55.562C gpu@53.375C tj@58.875C soc1@55.968C VDD_GPU_SOC 5313mW/5191mW VDD_CPU_CV 2654mW/3574mW VIN_SYS_5V0 5325mW/5230mW
09-24-2026 08:33:38 RAM 8172/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [100%@2201,0%@2201,2%@2201,2%@2201,0%@2201,2%@2201,1%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@58.781C soc2@54.343C soc0@55.468C gpu@53.375C tj@58.781C soc1@55.937C VDD_GPU_SOC 5313mW/5194mW VDD_CPU_CV 2654mW/3548mW VIN_SYS_5V0 5325mW/5233mW
09-24-2026 08:33:39 RAM 8394/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [100%@2201,16%@2201,16%@2201,16%@2201,16%@2201,26%@2201,52%@2201,26%@2201,17%@2201,18%@2201,27%@2201,18%@2201] GR3D_FREQ 0% cpu@60.562C soc2@54.593C soc0@55.5C gpu@53.406C tj@60.156C soc1@56C VDD_GPU_SOC 5308mW/5197mW VDD_CPU_CV 5683mW/3606mW VIN_SYS_5V0 5526mW/5241mW
09-24-2026 08:33:40 RAM 8710/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [17%@2201,95%@2201,14%@2201,14%@2201,13%@2201,13%@2201,100%@2201,14%@2201,14%@2201,15%@2201,13%@2201,18%@2201] GR3D_FREQ 0% cpu@59.718C soc2@54.343C soc0@55.5C gpu@53.312C tj@59.718C soc1@55.937C VDD_GPU_SOC 5308mW/5200mW VDD_CPU_CV 4927mW/3641mW VIN_SYS_5V0 5425mW/5246mW
09-24-2026 08:33:41 RAM 8786/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,2%@2201,1%@2201,100%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@59.656C soc2@54.187C soc0@55.531C gpu@53.218C tj@59.656C soc1@56C VDD_GPU_SOC 5311mW/5203mW VDD_CPU_CV 4548mW/3664mW VIN_SYS_5V0 5325mW/5248mW
09-24-2026 08:33:42 RAM 8866/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [0%@2201,100%@2201,0%@2201,1%@2201,1%@2201,1%@2201,100%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@59.687C soc2@54.218C soc0@55.531C gpu@53.218C tj@59.687C soc1@55.75C VDD_GPU_SOC 5311mW/5206mW VDD_CPU_CV 4548mW/3686mW VIN_SYS_5V0 5325mW/5250mW
09-24-2026 08:33:43 RAM 8937/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [1%@2201,73%@2201,0%@2201,0%@2201,1%@2201,1%@2201,100%@2201,1%@2201,0%@2201,0%@2201,0%@2201,27%@2201] GR3D_FREQ 0% cpu@59.156C soc2@54C soc0@55.375C gpu@53.187C tj@59.093C soc1@55.781C VDD_GPU_SOC 5311mW/5208mW VDD_CPU_CV 4548mW/3707mW VIN_SYS_5V0 5425mW/5254mW
09-24-2026 08:33:44 RAM 9000/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [3%@2201,2%@2201,2%@2201,3%@2201,3%@2201,5%@2201,100%@2201,3%@2201,1%@2201,2%@2201,1%@2201,100%@2201] GR3D_FREQ 0% cpu@59.343C soc2@53.968C soc0@55.281C gpu@53.156C tj@59.343C soc1@55.687C VDD_GPU_SOC 5311mW/5211mW VDD_CPU_CV 4548mW/3727mW VIN_SYS_5V0 5425mW/5258mW
09-24-2026 08:33:45 RAM 9032/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,2%@2201,100%@2201,0%@2201,0%@2201,1%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59.062C soc2@53.906C soc0@55.218C gpu@53.156C tj@59.062C soc1@55.718C VDD_GPU_SOC 5311mW/5213mW VDD_CPU_CV 4548mW/3746mW VIN_SYS_5V0 5224mW/5257mW
09-24-2026 08:33:46 RAM 9081/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [6%@2201,6%@2201,8%@2201,7%@2201,7%@2201,8%@2201,100%@2201,7%@2201,8%@2201,6%@2201,6%@2201,100%@2201] GR3D_FREQ 0% cpu@59C soc2@53.937C soc0@55.281C gpu@53.062C tj@59C soc1@55.781C VDD_GPU_SOC 5311mW/5215mW VDD_CPU_CV 4927mW/3773mW VIN_SYS_5V0 5224mW/5256mW
09-24-2026 08:33:47 RAM 9134/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [8%@2201,6%@2201,7%@2201,7%@2201,8%@2201,6%@2201,100%@2201,6%@2201,7%@2201,7%@2201,7%@2201,100%@2201] GR3D_FREQ 0% cpu@58.968C soc2@53.687C soc0@55.312C gpu@53.125C tj@58.968C soc1@55.687C VDD_GPU_SOC 5311mW/5217mW VDD_CPU_CV 4548mW/3790mW VIN_SYS_5V0 5425mW/5260mW
09-24-2026 08:33:48 RAM 9160/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201] GR3D_FREQ 0% cpu@59C soc2@53.75C soc0@55.062C gpu@53.312C tj@59C soc1@55.375C VDD_GPU_SOC 5311mW/5219mW VDD_CPU_CV 4548mW/3807mW VIN_SYS_5V0 5425mW/5264mW
09-24-2026 08:33:49 RAM 9191/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [0%@2201,1%@2201,2%@2201,0%@2201,0%@2201,1%@2201,100%@2201,0%@2201,0%@2201,2%@2201,1%@2201,100%@2201] GR3D_FREQ 0% cpu@59.031C soc2@53.75C soc0@54.937C gpu@53.25C tj@59.031C soc1@55.437C VDD_GPU_SOC 4931mW/5213mW VDD_CPU_CV 4927mW/3831mW VIN_SYS_5V0 5224mW/5263mW
09-24-2026 08:33:50 RAM 9206/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,99%@2201,0%@2201,2%@2201,0%@2201,1%@2201,99%@2201] GR3D_FREQ 0% cpu@58.468C soc2@53.593C soc0@55.062C gpu@53.312C tj@58.468C soc1@55.375C VDD_GPU_SOC 5311mW/5215mW VDD_CPU_CV 3790mW/3830mW VIN_SYS_5V0 5626mW/5270mW
09-24-2026 08:33:51 RAM 8771/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [91%@2201,1%@2201,1%@2201,0%@2201,0%@2201,2%@2201,87%@2201,1%@2201,2%@2201,6%@2201,1%@2201,10%@2201] GR3D_FREQ 0% cpu@58.468C soc2@54C soc0@55.031C gpu@53.187C tj@58.468C soc1@55.343C VDD_GPU_SOC 5311mW/5217mW VDD_CPU_CV 3790mW/3829mW VIN_SYS_5V0 5526mW/5276mW
09-24-2026 08:33:52 RAM 8757/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [29%@2201,1%@2201,1%@2201,12%@2201,76%@2201,2%@2201,1%@2201,1%@2201,1%@2201,3%@2201,8%@2201,1%@2201] GR3D_FREQ 0% cpu@59.093C soc2@53.562C soc0@54.968C gpu@53.25C tj@59.093C soc1@55.437C VDD_GPU_SOC 4931mW/5212mW VDD_CPU_CV 3412mW/3821mW VIN_SYS_5V0 5124mW/5273mW
09-24-2026 08:33:53 RAM 8772/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [0%@2201,0%@2201,0%@2201,2%@2201,100%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@59.062C soc2@53.375C soc0@55C gpu@53.218C tj@59.062C soc1@55.156C VDD_GPU_SOC 5313mW/5214mW VDD_CPU_CV 2654mW/3798mW VIN_SYS_5V0 5224mW/5272mW
09-24-2026 08:33:54 RAM 8799/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [0%@2201,1%@2201,0%@2201,0%@2201,99%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@59.093C soc2@53.343C soc0@54.687C gpu@52.593C tj@59.093C soc1@55.156C VDD_GPU_SOC 4933mW/5208mW VDD_CPU_CV 3033mW/3783mW VIN_SYS_5V0 5024mW/5267mW
09-24-2026 08:33:55 RAM 8870/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [0%@2201,0%@2201,0%@2201,1%@2201,100%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@58.875C soc2@53.312C soc0@54.656C gpu@52.468C tj@58.531C soc1@55.093C VDD_GPU_SOC 5313mW/5210mW VDD_CPU_CV 3033mW/3769mW VIN_SYS_5V0 5124mW/5264mW
09-24-2026 08:33:56 RAM 8925/30697MB (lfb 224x4MB) SWAP 608/15348MB (cached 1MB) CPU [5%@2201,3%@2201,69%@2201,1%@2201,29%@2201,0%@2201,1%@2201,0%@2201,1%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 0% cpu@58.25C soc2@53.25C soc0@54.656C gpu@52.5C tj@58.25C soc1@55.125C VDD_GPU_SOC 5313mW/5212mW VDD_CPU_CV 2654mW/3748mW VIN_SYS_5V0 5224mW/5263mW
