09-23-2026 15:34:55 RAM 3346/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [12%@2201,22%@2201,11%@2201,8%@2201,10%@2201,10%@2201,10%@2201,9%@2201,11%@2201,9%@2201,48%@2201,8%@2201] GR3D_FREQ 0% cpu@55.406C soc2@50.5C soc0@51.937C gpu@50.218C tj@55.406C soc1@52.125C VDD_GPU_SOC 4931mW/4931mW VDD_CPU_CV 4169mW/4169mW VIN_SYS_5V0 4923mW/4923mW
09-23-2026 15:35:14 RAM 3685/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,2%@2201] GR3D_FREQ 0% cpu@54.906C soc2@49.812C soc0@51.468C gpu@49.281C tj@54.656C soc1@51.625C VDD_GPU_SOC 4933mW/4952mW VDD_CPU_CV 3412mW/3185mW VIN_SYS_5V0 4923mW/5024mW
09-23-2026 15:35:15 RAM 3688/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,2%@2201,0%@2201,0%@2201,0%@2201,1%@2201,100%@2201,0%@2201,0%@2201,0%@2201] GR3D_FREQ 0% cpu@54.531C soc2@49.968C soc0@51.5C gpu@49.281C tj@54.531C soc1@51.531C VDD_GPU_SOC 4933mW/4951mW VDD_CPU_CV 3412mW/3195mW VIN_SYS_5V0 5024mW/5024mW
09-23-2026 15:35:16 RAM 3696/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,100%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@54.625C soc2@50C soc0@51.5C gpu@49.281C tj@54.625C soc1@51.531C VDD_GPU_SOC 4933mW/4950mW VDD_CPU_CV 3033mW/3188mW VIN_SYS_5V0 5024mW/5024mW
09-23-2026 15:35:17 RAM 7718/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,99%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@54.75C soc2@49.937C soc0@51.593C gpu@49.343C tj@54.75C soc1@51.468C VDD_GPU_SOC 5313mW/4966mW VDD_CPU_CV 2654mW/3165mW VIN_SYS_5V0 5224mW/5032mW
09-23-2026 15:35:18 RAM 11013/30697MB (lfb 433x4MB) SWAP 414/15348MB (cached 0MB) CPU [7%@2201,1%@2201,1%@2201,3%@2201,1%@2201,1%@2201,1%@2201,1%@2201,100%@2201,0%@2201,0%@2201,2%@2201] GR3D_FREQ 19% cpu@54.687C soc2@49.906C soc0@51.343C gpu@49.437C tj@55.093C soc1@51.468C VDD_GPU_SOC 5690mW/4996mW VDD_CPU_CV 3032mW/3159mW VIN_SYS_5V0 5526mW/5053mW
09-23-2026 15:35:19 RAM 11036/30697MB (lfb 432x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,1%@2201,8%@2201,1%@2201,0%@2201,2%@2201,4%@2201,35%@2201,57%@2201,1%@2201,6%@2201] GR3D_FREQ 19% cpu@55C soc2@50.062C soc0@51.437C gpu@49.906C tj@55C soc1@51.468C VDD_GPU_SOC 6067mW/5039mW VDD_CPU_CV 3032mW/3154mW VIN_SYS_5V0 5727mW/5080mW
09-23-2026 15:35:20 RAM 11153/30697MB (lfb 432x4MB) SWAP 414/15348MB (cached 0MB) CPU [93%@2201,4%@2201,4%@2201,6%@2201,7%@2201,3%@2201,5%@2201,5%@2201,2%@2201,13%@2201,2%@2201,5%@2201] GR3D_FREQ 0% cpu@55.218C soc2@50.312C soc0@51.437C gpu@49.343C tj@55.218C soc1@51.562C VDD_GPU_SOC 6067mW/5078mW VDD_CPU_CV 3788mW/3179mW VIN_SYS_5V0 5727mW/5105mW
09-23-2026 15:35:21 RAM 11232/30697MB (lfb 432x4MB) SWAP 414/15348MB (cached 0MB) CPU [100%@2201,1%@2201,1%@2201,1%@2201,4%@2201,5%@2201,3%@2201,24%@2201,10%@2201,5%@2201,4%@2201,15%@2201] GR3D_FREQ 0% cpu@54.875C soc2@50.312C soc0@51.468C gpu@49.375C tj@54.875C soc1@51.656C VDD_GPU_SOC 5311mW/5087mW VDD_CPU_CV 3411mW/3187mW VIN_SYS_5V0 5425mW/5117mW
09-23-2026 15:35:22 RAM 11241/30697MB (lfb 432x4MB) SWAP 414/15348MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201] GR3D_FREQ 0% cpu@54.718C soc2@50.281C soc0@51.531C gpu@49.25C tj@54.937C soc1@51.656C VDD_GPU_SOC 5313mW/5095mW VDD_CPU_CV 2654mW/3168mW VIN_SYS_5V0 5224mW/5120mW
09-23-2026 15:35:23 RAM 12020/30697MB (lfb 429x4MB) SWAP 414/15348MB (cached 0MB) CPU [57%@2201,1%@2201,1%@2201,2%@2201,0%@2201,0%@2201,1%@2201,2%@2201,1%@2201,1%@2201,1%@2201,2%@2201] GR3D_FREQ 98% cpu@55.343C soc2@51.593C soc0@53.125C gpu@56.125C tj@56.125C soc1@51.562C VDD_GPU_SOC 28612mW/5906mW VDD_CPU_CV 1881mW/3124mW VIN_SYS_5V0 9359mW/5267mW
09-23-2026 15:35:24 RAM 12181/30697MB (lfb 424x4MB) SWAP 414/15348MB (cached 0MB) CPU [95%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,0%@2201,0%@2201] GR3D_FREQ 96% cpu@55.375C soc2@51.062C soc0@52.218C gpu@53.906C tj@55.375C soc1@51.656C VDD_GPU_SOC 13244mW/6151mW VDD_CPU_CV 2646mW/3108mW VIN_SYS_5V0 6430mW/5305mW
09-23-2026 15:35:25 RAM 12328/30697MB (lfb 417x4MB) SWAP 414/15348MB (cached 0MB) CPU [41%@2201,1%@2201,0%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,2%@2201,1%@2201] GR3D_FREQ 98% cpu@55.781C soc2@52.25C soc0@53.156C gpu@56.531C tj@56.531C soc1@51.937C VDD_GPU_SOC 32336mW/6995mW VDD_CPU_CV 1879mW/3068mW VIN_SYS_5V0 9963mW/5456mW
09-23-2026 15:35:26 RAM 12359/30697MB (lfb 416x4MB) SWAP 414/15348MB (cached 0MB) CPU [37%@2201,2%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201,0%@2201,3%@2201] GR3D_FREQ 98% cpu@56.562C soc2@52.531C soc0@53.593C gpu@56.937C tj@56.937C soc1@52.312C VDD_GPU_SOC 34186mW/7845mW VDD_CPU_CV 1877mW/3031mW VIN_SYS_5V0 10365mW/5609mW
09-23-2026 15:35:27 RAM 12357/30697MB (lfb 416x4MB) SWAP 414/15348MB (cached 0MB) CPU [10%@2201,0%@2201,0%@2201,29%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201] GR3D_FREQ 98% cpu@56.75C soc2@52.812C soc0@53.906C gpu@57.375C tj@57.375C soc1@52.625C VDD_GPU_SOC 33449mW/8621mW VDD_CPU_CV 1878mW/2996mW VIN_SYS_5V0 10265mW/5750mW
09-23-2026 15:35:28 RAM 12430/30697MB (lfb 404x4MB) SWAP 414/15348MB (cached 0MB) CPU [26%@2201,2%@2201,1%@2201,13%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,2%@2201,1%@2201,1%@2201] GR3D_FREQ 98% cpu@56.968C soc2@52.906C soc0@54.031C gpu@57.687C tj@57.687C soc1@52.687C VDD_GPU_SOC 30845mW/9275mW VDD_CPU_CV 2255mW/2974mW VIN_SYS_5V0 9847mW/5871mW
09-23-2026 15:35:29 RAM 12489/30697MB (lfb 389x4MB) SWAP 414/15348MB (cached 0MB) CPU [27%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 38% cpu@57.843C soc2@53.343C soc0@54.437C gpu@56.218C tj@57.843C soc1@53.031C VDD_GPU_SOC 36785mW/10061mW VDD_CPU_CV 1876mW/2943mW VIN_SYS_5V0 10567mW/6005mW
09-23-2026 15:35:30 RAM 12506/30697MB (lfb 389x4MB) SWAP 414/15348MB (cached 0MB) CPU [28%@2201,1%@2201,1%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 97% cpu@57.75C soc2@53.75C soc0@54.593C gpu@59.593C tj@59.593C soc1@53.218C VDD_GPU_SOC 38629mW/10854mW VDD_CPU_CV 1875mW/2913mW VIN_SYS_5V0 10869mW/6140mW
09-23-2026 15:35:31 RAM 12506/30697MB (lfb 388x4MB) SWAP 414/15348MB (cached 0MB) CPU [57%@2201,1%@2201,0%@2201,2%@2201,0%@2201,1%@2201,1%@2201,0%@2201,2%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 95% cpu@57.968C soc2@53.562C soc0@54.406C gpu@57.375C tj@57.968C soc1@53.406C VDD_GPU_SOC 30092mW/11374mW VDD_CPU_CV 2256mW/2895mW VIN_SYS_5V0 9746mW/6237mW
09-23-2026 15:35:32 RAM 12858/30697MB (lfb 324x4MB) SWAP 414/15348MB (cached 0MB) CPU [56%@2201,2%@2201,2%@2201,0%@2201,0%@2201,2%@2201,1%@2201,1%@2201,3%@2201,2%@2201,0%@2201,4%@2201] GR3D_FREQ 98% cpu@57.562C soc2@53.687C soc0@54.718C gpu@58.218C tj@58.218C soc1@53.593C VDD_GPU_SOC 29716mW/11857mW VDD_CPU_CV 2256mW/2879mW VIN_SYS_5V0 9646mW/6327mW
09-23-2026 15:35:33 RAM 12955/30697MB (lfb 300x4MB) SWAP 414/15348MB (cached 0MB) CPU [12%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,0%@2201,1%@2201,0%@2201] GR3D_FREQ 98% cpu@58.093C soc2@54.531C soc0@55.218C gpu@59.968C tj@59.968C soc1@53.875C VDD_GPU_SOC 39379mW/12562mW VDD_CPU_CV 1500mW/2843mW VIN_SYS_5V0 10667mW/6438mW
09-23-2026 15:35:34 RAM 12920/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [42%@2201,7%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201,0%@2201] GR3D_FREQ 39% cpu@58.625C soc2@53.968C soc0@54.937C gpu@56.531C tj@58.625C soc1@54.218C VDD_GPU_SOC 32322mW/13056mW VDD_CPU_CV 2256mW/2829mW VIN_SYS_5V0 9862mW/6524mW
09-23-2026 15:35:35 RAM 12922/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [68%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,2%@2201,2%@2201,0%@2201,1%@2201] GR3D_FREQ 36% cpu@58.468C soc2@54.093C soc0@54.812C gpu@56.656C tj@58.468C soc1@54C VDD_GPU_SOC 29704mW/13462mW VDD_CPU_CV 2632mW/2824mW VIN_SYS_5V0 9746mW/6603mW
09-23-2026 15:35:36 RAM 12901/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [59%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,5%@2201,1%@2201,1%@2201,1%@2201] GR3D_FREQ 93% cpu@58.718C soc2@54.562C soc0@55.25C gpu@59.781C tj@59.781C soc1@54C VDD_GPU_SOC 33825mW/13947mW VDD_CPU_CV 2253mW/2810mW VIN_SYS_5V0 10349mW/6692mW
09-23-2026 15:35:37 RAM 12930/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [31%@2201,18%@2201,14%@2201,2%@2201,1%@2201,2%@2201,1%@2201,2%@2201,5%@2201,2%@2201,13%@2201,1%@2201] GR3D_FREQ 96% cpu@58.468C soc2@54.25C soc0@55.25C gpu@59.031C tj@59.031C soc1@54.25C VDD_GPU_SOC 31208mW/14349mW VDD_CPU_CV 2632mW/2806mW VIN_SYS_5V0 9947mW/6767mW
09-23-2026 15:35:38 RAM 12931/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,13%@2201,2%@2201,1%@2201,1%@2201,1%@2201,1%@2201,57%@2201,1%@2201,8%@2201,1%@2201] GR3D_FREQ 94% cpu@58.406C soc2@54.218C soc0@55.218C gpu@58.25C tj@58.406C soc1@54.375C VDD_GPU_SOC 28976mW/14681mW VDD_CPU_CV 2634mW/2802mW VIN_SYS_5V0 9545mW/6831mW
09-23-2026 15:35:39 RAM 12934/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,1%@2201,1%@2201,0%@2201,1%@2201,1%@2201,2%@2201,20%@2201,1%@2201,48%@2201,2%@2201] GR3D_FREQ 95% cpu@58.375C soc2@54.343C soc0@55.375C gpu@58.5C tj@58.5C soc1@54.468C VDD_GPU_SOC 27847mW/14974mW VDD_CPU_CV 2634mW/2798mW VIN_SYS_5V0 9445mW/6889mW
09-23-2026 15:35:40 RAM 12933/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,17%@2201,1%@2201,1%@2201,2%@2201,1%@2201,2%@2201,31%@2201,37%@2201,1%@2201,0%@2201] GR3D_FREQ 36% cpu@58.875C soc2@54C soc0@55.187C gpu@56.968C tj@58.875C soc1@54.5C VDD_GPU_SOC 27095mW/15237mW VDD_CPU_CV 2634mW/2795mW VIN_SYS_5V0 9545mW/6946mW
09-23-2026 15:35:41 RAM 12933/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,1%@2201,0%@2201,2%@2201,0%@2201,1%@2201,0%@2201,0%@2201,68%@2201,0%@2201,0%@2201] GR3D_FREQ 74% cpu@59.062C soc2@54.156C soc0@55.156C gpu@57.468C tj@59.062C soc1@54.625C VDD_GPU_SOC 27871mW/15506mW VDD_CPU_CV 2634mW/2791mW VIN_SYS_5V0 9445mW/7000mW
09-23-2026 15:35:42 RAM 12933/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201,1%@2201,66%@2201,1%@2201,1%@2201] GR3D_FREQ 7% cpu@59.093C soc2@54.281C soc0@55.25C gpu@55.812C tj@59.093C soc1@54.656C VDD_GPU_SOC 27859mW/15763mW VDD_CPU_CV 2634mW/2788mW VIN_SYS_5V0 9344mW/7048mW
09-23-2026 15:35:43 RAM 12935/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,1%@2201,1%@2201,18%@2201,52%@2201,1%@2201,1%@2201] GR3D_FREQ 8% cpu@58.843C soc2@54.312C soc0@55.218C gpu@56.187C tj@58.843C soc1@54.843C VDD_GPU_SOC 27483mW/16003mW VDD_CPU_CV 2635mW/2785mW VIN_SYS_5V0 9344mW/7095mW
09-23-2026 15:35:44 RAM 12935/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,22%@2201,47%@2201,0%@2201,0%@2201] GR3D_FREQ 45% cpu@59.062C soc2@54.343C soc0@55.406C gpu@56.75C tj@59.062C soc1@54.968C VDD_GPU_SOC 26741mW/16217mW VDD_CPU_CV 2635mW/2782mW VIN_SYS_5V0 9344mW/7140mW
09-23-2026 15:35:45 RAM 12936/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,1%@2201,2%@2201,0%@2201,0%@2201,1%@2201,0%@2201,0%@2201,51%@2201,12%@2201,0%@2201,0%@2201] GR3D_FREQ 38% cpu@59.125C soc2@54.437C soc0@55.656C gpu@56.5C tj@59.125C soc1@55.125C VDD_GPU_SOC 28224mW/16453mW VDD_CPU_CV 2634mW/2779mW VIN_SYS_5V0 9445mW/7185mW
09-23-2026 15:35:46 RAM 12934/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,1%@2201,49%@2201,15%@2201,0%@2201,1%@2201] GR3D_FREQ 38% cpu@59.625C soc2@54.812C soc0@55.75C gpu@57.718C tj@59.625C soc1@54.937C VDD_GPU_SOC 31194mW/16736mW VDD_CPU_CV 2256mW/2769mW VIN_SYS_5V0 9746mW/7235mW
09-23-2026 15:35:47 RAM 12934/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [1%@2201,0%@2201,1%@2201,0%@2201,1%@2201,1%@2201,1%@2201,1%@2201,12%@2201,51%@2201,0%@2201,3%@2201] GR3D_FREQ 89% cpu@59.312C soc2@55.187C soc0@56.125C gpu@60.125C tj@60.125C soc1@55.156C VDD_GPU_SOC 33435mW/17051mW VDD_CPU_CV 2255mW/2759mW VIN_SYS_5V0 9963mW/7286mW
09-23-2026 15:35:48 RAM 12909/30697MB (lfb 304x4MB) SWAP 414/15348MB (cached 0MB) CPU [2%@2201,2%@2201,1%@2201,2%@2201,0%@2201,1%@2201,1%@2201,1%@2201,52%@2201,10%@2201,1%@2201,1%@2201] GR3D_FREQ 94% cpu@59.687C soc2@55.312C soc0@56.281C gpu@60.343C tj@60.343C soc1@55.187C VDD_GPU_SOC 33073mW/17348mW VDD_CPU_CV 2255mW/2750mW VIN_SYS_5V0 10148mW/7339mW
